uid	source	scene	sent	type	bucket	focalizer	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1_2	少年、少女与白花	1	2	action	物理	库拉斯	在越过小山丘的地方，库拉斯在坐落在道路旁边的一块平坦的岩石上坐了下来。 ‖ 附近没有任何遮挡物，虽然小山丘并不是很高，但却可以看到很远的地方。 ‖ ►不管走多远也全是些相似的风景，明明听说是通往大海的道路，但附近却连一条河流存在的迹象也没有。 ‖ 对于降生到这个世上差不多已经十年的库拉斯，完全不能想象海洋到底是什么样的。 ‖ 但是，走在打听来的道路上好像也并没有看漏的地方，因此大概还有很远的路吧。将代替拐杖的粗树枝撑在胳肢窝下，并把装满了水的皮袋拿了出来，喝了一小口已经渗入皮革臭味的难喝的水，润了润嘴唇。茶色的头发被微风吹得摇晃了起来，库拉斯突然转向了身后。	不管走多远也全是些相似的风景，明明听说是通往大海的道路，但附近却连一条河流存在的迹象也没有。	库拉斯	0.30	库拉斯			
1_12	少年、少女与白花	1	12	action	心理-自指	库拉斯	脑袋整个被包在头巾下，穿着下摆就快要拖到地上了的衣服。 ‖ 如果靠近看的话，会发现她的衣服显得很脏；但在远处看的话，看起来就像是只羊一样。 ‖ 她的名字是阿莉艾斯。 ‖ ►虽然她说不知道自己的年龄，但是让库拉斯感到生气的是，阿莉艾斯的身高要比库拉斯高那么一点点。 ‖ 因此他决定了，阿莉艾斯比自己大两岁。 ‖ “阿莉艾斯！”	虽然她说不知道自己的年龄，但是让库拉斯感到生气的是，阿莉艾斯的身高要比库拉斯高那么一点点。	库拉斯	0.21	库拉斯			非主角视角心理:存疑
1_24	少年、少女与白花	1	24	action	心理-自指	库拉斯	“觉得那样的少见吗？” ‖ 因为是坐在岩石上，所以库拉斯是抬着头看着阿莉艾斯的。 ‖ 深戴着头巾，如果不是从很近的地方，或是从下面看的话，根本看不清她的容貌。 ‖ ►因此，察觉到虽然是没有太大变化的表情，但在那头巾下的那张脸却非常可爱，是在旅行开始不久的事。 ‖ “那个就是……花吗？” ‖ 阿莉艾斯就像是在确认重要的事情似地那样问道。	因此，察觉到虽然是没有太大变化的表情，但在那头巾下的那张脸却非常可爱，是在旅行开始不久的事。	库拉斯	0.24	库拉斯			非主角视角心理:存疑
2_20	少年、少女与白花	2	20	dialogue	unmarked	库拉斯	“没错。那并不是蜘蛛或者蜥蜴什么的。” ‖ “在飞……对吧？” ‖ “没错。” ‖ ►因为咬得过于用力，库拉斯一边用手指刮除沾在牙齿上的燕麦面包，一边在心里想着“露出就像是听到重大秘密似的敬佩表情、注视着在天空中飞行的小鸟的阿莉艾斯，虽然有点奇怪，但确实也很可爱”。 ‖ 阿莉艾斯在初次见到小鸟的时候，说出了“蜘蛛在天花板上爬着”这种话。 ‖ 当时库拉斯一时不知道阿莉艾斯在说些什么。最终，库拉斯明白了阿莉艾斯话里的天花板指的是天空，在天花板上爬着的蜘蛛指的是小鸟。	露出就像是听到重大秘密似的敬佩表情、注视着在天空中飞行的小鸟的阿莉艾斯，虽然有点奇怪，但确实也很可爱	库拉斯	0.40	库拉斯			
2_22	少年、少女与白花	2	22	action	心理-自指	库拉斯	“没错。” ‖ 因为咬得过于用力，库拉斯一边用手指刮除沾在牙齿上的燕麦面包，一边在心里想着“露出就像是听到重大秘密似的敬佩表情、注视着在天空中飞行的小鸟的阿莉艾斯，虽然有点奇怪，但确实也很可爱”。 ‖ 阿莉艾斯在初次见到小鸟的时候，说出了“蜘蛛在天花板上爬着”这种话。 ‖ ►当时库拉斯一时不知道阿莉艾斯在说些什么。最终，库拉斯明白了阿莉艾斯话里的天花板指的是天空，在天花板上爬着的蜘蛛指的是小鸟。 ‖ 库拉斯虽然觉得很吃惊，但也觉得作为男人被当成笨蛋也很丢脸。库拉斯告诉阿莉艾斯“所谓的天空是用高的难以置信的树枝所撑起来的，而小鸟就是在天空下面飞翔的哟”。 ‖ 半信半疑的阿莉艾斯在看见从地面上飞起来的小鸟后，终于认可了库拉斯的说辞。	当时库拉斯一时不知道阿莉艾斯在说些什么。最终，库拉斯明白了阿莉艾斯话里的天花板指的是天空，在天花板上爬着的蜘蛛指的是小鸟。	库拉斯	0.24	库拉斯			非主角视角心理:存疑
3_7	少年、少女与白花	3	7	dialogue	unmarked	库拉斯	库拉斯一边用嘶哑的声音回答着，一边用不可思议地冷静着的头脑的一部分想着：现在俯视着我们的，只有无数的星星和缺了一点点的月亮而已。 ‖ 现在两人躺着的地方是最后到达的山丘上。 ‖ 周围什么也没有，虽然知道附近并没有其他人，但库拉斯还是有点害羞。 ‖ ►“神还说过：人在只有自己一人的时候，会因为被饥饿和孤独所袭来的寒意而瑟瑟发抖。但是，如果是两个人的时候，至少能治愈孤独，寒意也能被缓和些。” ‖ “……嗯。” ‖ “还是觉得很冷吗？”	神还说过：人在只有自己一人的时候，会因为被饥饿和孤独所袭来的寒意而瑟瑟发抖。但是，如果是两个人的时候，至少能治愈孤独，寒意也能被缓和些。	库拉斯	0.40	库拉斯			
7_114	少年、少女与白花	7	114	dialogue	anaphoric	库拉斯	话说到一半，赫萝叹了口气后，用吃惊似的目光看了过来。 ‖ 库拉斯不由地低下了头。 ‖ 因为在视线所及之处都没有能避雨的地方。 ‖ ►“咱虽然是带着半分好玩的心态，跟踪在这既没有河流也没有泉水的地方赶路的两个人，但也未必没有考虑到会发生这样的事。” ‖ 既然赫萝都已经那样说了，看来她确实很生气。因为觉得害怕，库拉斯什么也没有说。 ‖ “话又说回来，如果要说奇怪的话，像汝俩这样相伴而行才叫奇怪呢。为什么两个小孩子会出来旅行？”	咱虽然是带着半分好玩的心态，跟踪在这既没有河流也没有泉水的地方赶路的两个人，但也未必没有考虑到会发生这样的事。	赫萝	0.55	赫萝			
1_3	旅行商人与黯色的骑士	1	3	action	物理	罗伦斯	很不可思议地，无人居住的房子不需任何理由，就会以惊人的速度腐朽老化。 ‖ 房子的窗户会破裂，土质地面会凸起，屋顶会坍塌。 ‖ 这栋为可怜旅人遮风避雨的屋顶曾有着气派的外观，但如今就连在蒙蒙细雨之中，也显得摇摇欲坠。 ‖ ►可能是因为这栋石造建筑物的地基打得牢固，支撑建筑物四角的支柱周围部位，还看得出昔日住宅的影子。罗伦斯此刻正挤进支柱底下躲雨。 ‖ 碍于这样的状况，罗伦斯把载了货物的马车以及拉马车的马儿，分别安置在对面的支柱旁，以及隔壁栋的支柱旁。 ‖ 罗伦斯靠着墙壁坐在地上生火时，从破了洞的屋顶清楚看见阴沉沉的乌云。	可能是因为这栋石造建筑物的地基打得牢固，支撑建筑物四角的支柱周围部位，还看得出昔日住宅的影子。罗伦斯此刻正挤进支柱底下躲雨。	罗伦斯	0.55	罗伦斯			
1_21	旅行商人与黯色的骑士	1	21	dialogue	anaphoric	罗伦斯	火势也蔓延到了罗伦斯用短剑所削下的木屑，并顺利烧起木柴。过了没多久后，火堆便熊熊燃烧起来。 ‖ “话说回来，刚才真的是千钧一发。” ‖ 罗伦斯从木柴当中挑出带有树枝的木柴后，一边用短剑砍下树枝，一边说道。 ‖ ►“嗯。谁叫有个大笨驴商人把拒绝不了的笨重货物载在货台上，才会拖慢行程。咱差点就要被迫在雨中睡觉。” ‖ 赫萝先铺上抹过油的鞣皮，然后躺在鞣皮上这么说。 ‖ 几天前经过城镇时，罗伦斯因为拒绝不了认识的旅行商人之托，而把盐鲱渍鱼载在货台上。	嗯。谁叫有个大笨驴商人把拒绝不了的笨重货物载在货台上，才会拖慢行程。咱差点就要被迫在雨中睡觉。	赫萝	0.55	赫萝			
1_29	旅行商人与黯色的骑士	1	29	action	心理-自指	罗伦斯	“不过，也赚到了值得的利益。” ‖ 罗伦斯把树枝削尖，然后从货物里取出几尾盐渍鲱鱼，再用树枝从嘴巴刺起鲱鱼，一尾一尾地立在火堆四周。 ‖ 照物主给的条件，罗伦斯最多可以吃掉十尾鲱鱼。 ‖ ►难得有鱼可以吃，如果想要做点费工夫的料理，可以用树皮连同洋葱、蒜头奶油和鱼一起包裹，然后埋进土里，并在上方生火。经过一段时间后，只要挪开火堆再打开树皮，一道咸味十足又甘甜的蒸鱼料理即大功告成。 ‖ 罗伦斯今晚之所以没有这么做，是因为知道赫萝一旦吃了这样的料理，下次光是烤过的鱼就会满足不了她。 ‖ 好东西让人看了就会想要，吃了就忘不了。	难得有鱼可以吃，如果想要做点费工夫的料理，可以用树皮连同洋葱、蒜头奶油和鱼一起包裹，然后埋进土里，并在上方生火。经过一段时间后，只要挪开火堆再打开树皮，一道咸味十足又甘甜的蒸鱼料理即大功告成。	罗伦斯	0.35	罗伦斯			
1_46	旅行商人与黯色的骑士	1	46	dialogue	anaphoric	罗伦斯	赫萝会这么询问，并不是因为她有感而发或是缺乏常识。而是因为，在一眼望去空无一物的荒野上，居然会有样东西从大地上凸起。那感觉就像美丽光滑的肌肤上，突然冒出了一颗粉刺。 ‖ 只要看见了这样的建筑物，就算不是像赫萝这样隔了好几百年才离开村落麦田的人，也会有一样的疑问。 ‖ 罗伦斯两人用来躲雨的建筑物，正是被建盖在如粉刺般的凸起物上。 ‖ ►“话说回来，汝怎么会知道有这种地方？汝发现有可能下雨后，就像是认得路似地直接来到这里，不是吗？” ‖ 或许是舔了一阵盐巴后感到满足，赫萝从罗伦斯手边拿起刚削好的木棒这么说。 ‖ 罗伦斯才在想不知道赫萝打算做什么，便看见赫萝从还没用木棒串起的鲱鱼当中挑出最大的一尾鱼，然后用力把木棒插入鱼嘴。	话说回来，汝怎么会知道有这种地方？汝发现有可能下雨后，就像是认得路似地直接来到这里，不是吗？	赫萝	0.55	赫萝			
1_72	旅行商人与黯色的骑士	1	72	action	心理-推测	罗伦斯	“也不是这样子的……” ‖ 对罗伦斯来说，那是一段不大愿意与人分享的故事。 ‖ 尤其是对赫萝。 ‖ ►罗伦斯如果试图隐瞒，赫萝总会更带劲地想要挖出秘密，就连这般个性的赫萝，似乎也察觉到气氛不对。 ‖ 虽然赫萝乖乖表现出愿意罢手的态度，但耳朵显得落寞地垂了下来。 ‖ “汝总是不大愿意与咱分享过去的事情。”	罗伦斯如果试图隐瞒，赫萝总会更带劲地想要挖出秘密，就连这般个性的赫萝，似乎也察觉到气氛不对。	罗伦斯	0.40	罗伦斯	赫萝		
1_78	旅行商人与黯色的骑士	1	78	action	心理-推测	罗伦斯	说罢，赫萝伸出手拿起烤鱼。 ‖ 赫萝会这么说应该只是带着一些抱怨，而不是非得要听到故事不可的意思。 ‖ 尽管如此，看见赫萝这般表现还是让罗伦斯有些不忍心。 ‖ ►虽然鲱鱼应该还没烤熟，但似乎已经等不及的赫萝大口咬下烤鱼，并让盐巴就这么沾在脸颊上。帮赫萝擦去脸颊上的盐巴后，罗伦斯先这么说出开场白： ‖ “疲累的旅途中，听到好笑的故事会比较好吧？” ‖ “疲累时没有什么比口味重的东西更好。”	虽然鲱鱼应该还没烤熟，但似乎已经等不及的赫萝大口咬下烤鱼，并让盐巴就这么沾在脸颊上。帮赫萝擦去脸颊上的盐巴后，罗伦斯先这么说出开场白：	罗伦斯	0.40	罗伦斯	赫萝		
3_14	旅行商人与黯色的骑士	3	14	dialogue	unmarked	罗伦斯	在弗理德带路下，罗伦斯一边一起走着，一边观察四周状况时，忽然听到弗理德这么说。 ‖ 因为隐瞒也没有用，所以罗伦斯老实地回答： ‖ “老实说，我前天吃过饭后，就没再吃过东西了。” ‖ ►“嗯，原来是这样啊。那我招待起来会比较有成就感。就来准备刚切好的猪肉，还有……啊！对了，今天早上保罗那家伙在水道里生了鸡蛋……” ‖ 弗理德一边自言自语，一边走进建筑物内。 ‖ 虽然大家会说年纪大了就容易自言自语，但如果罗伦斯观察得没错，弗理德的表现应该是独居过久的人会有的特征。	嗯，原来是这样啊。那我招待起来会比较有成就感。就来准备刚切好的猪肉，还有……啊！对了，今天早上保罗那家伙在水道里生了鸡蛋……	罗伦斯	0.40	罗伦斯			
1_5	旅途余白	1	5	action	物理	罗伦斯	到头来不知该做何表情，只能盯着自己的脚尖看。 ‖ “那么，出发吧。” ‖ 随声抬头时，一切已准备就绪。 ‖ ►领路的祭司表情肃穆地行礼，其身后有两名男子各抱举一个人高的长杆，杆子顶端各有一面看似相当笨重的铁制徽记。他们后头还有六名男子左右排成两纵列，肩上扛着棺木。 ‖ “愿真主与圣灵降福天下苍生。” ‖ 祭司庄严地吟出祷词，一行人静静起步。沿路的针叶树底下，走出一张张困惑的脸孔。	领路的祭司表情肃穆地行礼，其身后有两名男子各抱举一个人高的长杆，杆子顶端各有一面看似相当笨重的铁制徽记。他们后头还有六名男子左右排成两纵列，肩上扛着棺木。	罗伦斯	0.30	罗伦斯			
