uid	scene	sent	type	bucket	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1-12	1	12	action	物理	罗伦斯坐在窗边，无声地自言自语，然后发出笑声。 ‖ 广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。 ‖ 脑海中之所以浮现出许久都未曾想起的师傅，恐怕是因为他又一次踏上旅途，拉开了旅行记忆的抽屉，抽屉深处收藏着的东西也就一并被带了出来。再或者，也许他是在向这些回忆寻求什么线索。 ‖ ►因为有些东西是罗伦斯在安排旅行计划时必须考虑一番的。 ‖ 旅行的收获并非尽是快乐。很不可思议的是，即便能在繁荣的市镇过着自由自在毫不拘束的生活，这一点也不会改变。或许此刻愈加快乐，往后迎来的艰辛也就愈发难以耐受。 ‖ 毕竟旅行生活的随心所欲，是用日常生活的确定和稳定换来的。	因为有些东西是罗伦斯在安排旅行计划时必须考虑一番的。	罗伦斯	0.55	罗伦斯			
1-15	1	15	dialogue	anaphoric	因为有些东西是罗伦斯在安排旅行计划时必须考虑一番的。 ‖ 旅行的收获并非尽是快乐。很不可思议的是，即便能在繁荣的市镇过着自由自在毫不拘束的生活，这一点也不会改变。或许此刻愈加快乐，往后迎来的艰辛也就愈发难以耐受。 ‖ 毕竟旅行生活的随心所欲，是用日常生活的确定和稳定换来的。 ‖ ►“祭典结束之后，我打算回家去。” ‖ 这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。 ‖ 赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。	祭典结束之后，我打算回家去。	罗伦斯	0.65	艾尔莎	罗伦斯	y	
1-16	1	16	action	物理	旅行的收获并非尽是快乐。很不可思议的是，即便能在繁荣的市镇过着自由自在毫不拘束的生活，这一点也不会改变。或许此刻愈加快乐，往后迎来的艰辛也就愈发难以耐受。 ‖ 毕竟旅行生活的随心所欲，是用日常生活的确定和稳定换来的。 ‖ “祭典结束之后，我打算回家去。” ‖ ►这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。 ‖ 赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。 ‖ “你不先对赫萝说吗？”	这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。	罗伦斯	0.55	罗伦斯			
1-17	1	17	action	心理	毕竟旅行生活的随心所欲，是用日常生活的确定和稳定换来的。 ‖ “祭典结束之后，我打算回家去。” ‖ 这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。 ‖ ►赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。 ‖ “你不先对赫萝说吗？” ‖ 似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。	赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。	赫萝	0.55	赫萝			
1-18	1	18	dialogue	explicit	“祭典结束之后，我打算回家去。” ‖ 这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。 ‖ 赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。 ‖ ►“你不先对赫萝说吗？” ‖ 似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。 ‖ 既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？	你不先对赫萝说吗？	赫萝	0.95	罗伦斯	艾尔莎	y	
1-19	1	19	action	物理	这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的关税争端，让争执的双方——教会和木材商人们各自做出让步。当晚回到住处的路上，艾尔莎开了口。 ‖ 赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。 ‖ “你不先对赫萝说吗？” ‖ ►似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。 ‖ 既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？ ‖ 罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。	似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。	赫萝	0.55	赫萝			
1-20	1	20	action	物理	赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人。罗伦斯明白艾尔莎是有意要抓住这短短的时间提起自己的告别，但还有一点他不明白。 ‖ “你不先对赫萝说吗？” ‖ 似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。 ‖ ►既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？ ‖ 罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。 ‖ “因为，和她的关系好得有些过头了。”	既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？	艾尔莎	0.55	艾尔莎			
1-21	1	21	action	心理	“你不先对赫萝说吗？” ‖ 似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。 ‖ 既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？ ‖ ►罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。 ‖ “因为，和她的关系好得有些过头了。” ‖ 遵循着铁律的神的仆人。	罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。	罗伦斯	0.55	罗伦斯			
1-22	1	22	dialogue	anaphoric	似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫赫萝，赫萝还是会露出不耐烦的模样，但从那一来一往中也能感受到，她们之间的关系变得比以往更好了。 ‖ 既然如此，正因如此，行事一板一眼的艾尔莎不应该首先去对赫萝道别吗？ ‖ 罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。 ‖ ►“因为，和她的关系好得有些过头了。” ‖ 遵循着铁律的神的仆人。 ‖ 艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。	因为，和她的关系好得有些过头了。	罗伦斯	0.65	艾尔莎	罗伦斯	y	
1-24	1	24	action	物理	罗伦斯怀着这样的疑问对艾尔莎开口，而她则是先露出淡淡微笑，继而移开了眼神似地朝前望去。 ‖ “因为，和她的关系好得有些过头了。” ‖ 遵循着铁律的神的仆人。 ‖ ►艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。 ‖ “我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。” ‖ 艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。??????????????????	艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。	艾尔莎	0.55	艾尔莎			
1-25	1	25	dialogue	anaphoric	“因为，和她的关系好得有些过头了。” ‖ 遵循着铁律的神的仆人。 ‖ 艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。 ‖ ►“我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。” ‖ 艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。?????????????????? ‖ 她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。	我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。	艾尔莎	0.65	艾尔莎		y	
1-26	1	26	action	物理	遵循着铁律的神的仆人。 ‖ 艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。 ‖ “我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。” ‖ ►艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。?????????????????? ‖ 她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。 ‖ “赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……”	艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。??????????????????	艾尔莎	0.55	艾尔莎			
1-27	1	27	action	物理	艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。 ‖ “我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。” ‖ 艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。?????????????????? ‖ ►她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。 ‖ “赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……” ‖ 艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。	她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。	艾凡	0.55	艾凡			
1-28	1	28	dialogue	explicit	“我还不是很习惯旅行，所以会因为突然涌出来的思乡之情感到动摇。” ‖ 艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。?????????????????? ‖ 她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。 ‖ ►“赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……” ‖ 艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。 ‖ “在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？”	赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……	赫萝	0.80	艾尔莎		y	
1-29	1	29	action	物理	艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的态度愈发严厉，为了处理与教会有关的各种财产与特许问题，她被各处教会召唤，一直到这个极北之地。?????????????????? ‖ 她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。 ‖ “赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……” ‖ ►艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。 ‖ “在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？” ‖ 这是旅途生活中常见的光景。	艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。	艾尔莎	0.55	艾尔莎			
1-30	1	30	dialogue	explicit	她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经有了三个孩子。 ‖ “赫萝的直觉很敏锐，在她面前，我恐怕很难掩饰住归心似箭的模样。可是……” ‖ 艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。 ‖ ►“在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？” ‖ 这是旅途生活中常见的光景。 ‖ 在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。	在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？	赫萝	0.80	艾尔莎		y	
1-32	1	32	action	物理	艾尔莎缓缓吸了一口气，又长长地吐出来，就好像她整个人也因此缩小了一圈。 ‖ “在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？” ‖ 这是旅途生活中常见的光景。 ‖ ►在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。 ‖ 他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。 ‖ 艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。	在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。	赫萝	0.30	赫萝			
1-33	1	33	action	物理	“在赫萝的眼里，我的模样看起来就可能显得很薄情，不是吗？” ‖ 这是旅途生活中常见的光景。 ‖ 在他乡远地遇到了意气投和的人物，痛饮达旦，乃至心中将对方视为莫逆之交，对方却只说一句还有家人在，就此匆匆离开。在这些人眼中 ，旅人终究只是旅人，是许多来客中的一人，而他们还有属于他们的，坚固不变的日常生活。 ‖ ►他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。 ‖ 艾尔莎大概已经在她的短暂旅途中体会过了这样的寂寥感。 ‖ 艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后， 还有一个比常人更温柔体贴的艾尔莎。	他们会回到炉火温暖，笑语满溢的家中。可是，旅人却必须独自回归寂静的旅舍，然后到了明日，又要向下一个市镇出发。	赫萝	0.30	赫萝			
