行号	篇	上文	本句	下文	候选(择一/或写真值)	正确说话人
A19	狼与尾巴的圆舞	罗伦斯知道近来木材飙涨，而这或许也是那座魔山能卖出高价的原因之一。	“其实他们只是特别显眼而已，算来几乎每个商人都在求我们宽限。他们不只是明年后年，甚至徒弟辈都会来我们这住，求了我们也只好等。可是他们一样照吃照喝，我们为了生存就只能硬着头皮进货。老实说，我们要给面包店和肉铺的钱也还没付，可是就只有不了解实情的劳德商行那些王八蛋，把我们说得像恶魔的窠巢一样。”	在场所有人都大力赞同。	 旅舍公会会长（是一个群体）
A20	狼与尾巴的圆舞	“如果劳德商行有救，那么帮这个忙，有好处的不只是他们而已。”	“这……这怎么说……？”	艾莉莎清咳后解释：	随行村人（这里村人和主祭是同一个群体，他们再这段内没有区分，都是主教区的人）
A21	狼与尾巴的圆舞	毕竟罗伦斯的办法，是替劳德商行还债。	“话虽这么说……”	罗伦斯的话有违常理。	不好判断
A22	狼与尾巴的圆舞	前往下一站的路上，木材商人们当然也陆续跟来。	在旅舍公会，会长用好比白昼见到龙的表情迎接他们。	他也同意向木材商人收帐的条件，答应付钱给劳德商行。 （无人说·非台词/写景）
A23	狼与宝石之海	“咱也有一件现在才发现的事情，简直就像是在咱心里藏着，专等汝找出这个故事后才跳出来。”	“咦？是什么？”	有一个说法，叫做以心传心。	罗伦斯
A24	狼与尾巴的圆舞	赫萝没有拨开鼻子上的手，就只是盯着他。	“怎样，你还想说我是因为你才沦落成一个鬼地方的温泉旅馆老板吗？”	罗伦斯放开手前又捏一把，说：	罗伦斯
A25	狼与宝石之海	赫萝表现得很惊讶，好像罗伦斯本来就该明白这一点似的。	罗伦斯依旧有些不满，但身后的艾尔莎也拍了拍他的肩膀。	“交给她吧。”	（无人说·非台词/写景）
A26	狼与尾巴的圆舞	“喔喔！”	“不会吧！”	艾莉莎清咳两声，要兴奋的人们安静。	 随行村人
A27	狼与宝石之海	干脆在地上挖坑做个温泉出来吧。	“村里人能把日子过到今天，都是多亏了那大树的功劳。不管猎鹿是谁的慧眼找到的机会，喂饱村里人的肚子，让他们能走到那一步的，毫无疑问都是那大树养出来的鱼儿。”	“所以把鹿角沉在水池里，就可以说——”	赫萝
A28	狼与尾巴的圆舞	就在他逡巡是否该去找人而打算站起时，赫萝回来了。一问之下，才知道她找了棵稍微远离道路的树，钉上给谭雅的信。	艾莉莎说她有交代过看管大教堂的村民，而赫萝是这么回答的──	即使谭雅据守的山离这有段不小的距离，她也一定会注意到他们经过这座山。而且谭雅一直独自在山上等待从前认识的炼金术	（无人说·非台词/写景）
A29	狼与尾巴的圆舞	艾莉莎这么说之后，村民才松口气说：	“我们是不相信啦……不过劳德商行的老板是说他们有赚没错。”	这的确是很有可能的事。罗伦斯早猜到会是这样而点点头，不谙商道的人们感到很意外。	随行村人
A30	狼与尾巴的圆舞	有艾莉莎协助，肯定能解决这件事。	“请相信我。这座城缺的，就只是它而已。”	晚一步到场的瓦兰主教区人马也很茫然。	罗伦斯
A31	狼与尾巴的圆舞	“话说回来，到底谁才是坏人啊？”	看似木讷的村人也不耐地问。	交易的连锁无穷无尽。	（无人说·非台词/写景）
A32	狼与尾巴的圆舞	罗伦斯放开手前又捏一把，说：	“我是自愿待在这间温泉旅馆里讨你欢心的。只要我想，随时都用得了魔法。”	赫萝眯起眼，嘴唇抖得像是快哭了一样。	罗伦斯
A33	狼与宝石之海	他所投身的宏大冒险似乎立刻就在世上掀起了巨大的波澜，而罗伦斯心中有强烈的动机，希望知道如今柯尔身在何方，做着什	“俗话说得好，没有消息就是最好的消息。再说了，这样的东西能传得到处都是，那就代表柯尔小鬼肯定又是一边啃着洋葱不睡觉，一边窝在房间里不出来。”	赫萝拿起小册子，在罗伦斯面前挥了挥。	赫萝
A34	狼与宝石之海	罗伦斯依旧有些不满，但身后的艾尔莎也拍了拍他的肩膀。	“交给她吧。”	“……”	 艾尔莎
A35	狼与宝石之海	赫萝的情感就像一只巨大的酒樽。	“咱们不是刚才从艾尔莎身上学到了管理家计有多重要吗？”	这个名字一说出口，赫萝的表情霎时变成了不开心的模样。	罗伦斯
A36	狼与宝石之海	赫萝被抢走了台词，看起来有些后悔，又有些开心似地笑了起来。	“这可不是道理能解释的。”	自己的愚笨是如此，但这里是在说拉德恩。	 赫萝
A37	狼与尾巴的圆舞	虽然在旅舍时都是罗伦斯告诫赫萝不要懒散与贪杯，但是到了残酷的人世间，总是赫萝比较谨慎。	面对她“少当儿戏喔”的警告眼神，罗伦斯挺直背脊说：	“作生意的有趣之处呢，就是交易的线会把所有东西串在一起。只要顺着劳德商行的交易记录去找，就能找出到底有没有恶魔	（无人说·非台词/写景）
A38	狼与尾巴的圆舞	“结果怎么样？”	“应该是个不错的数字。”	罗伦斯将赫萝从德堡商行带回来的信递给艾莉莎，见她的手因农事而弄得乌七抹黑便收了回去。艾莉莎看看药草田后说：	罗伦斯
