source	where	expression	issue	verdict	canonical_out	note
狼与另一个生日	场景2 (2_136)	往来旅馆的舞娘	仅提及的背景人物,本篇无名无台词。	drop		背景舞娘无台词
狼与宝石之海	全篇(195/222/234 等)	撒罗尼亚的主教 / 主教阁下	本章正文从不写出其专名，仅以职务称呼。	keep_local	撒罗尼亚的主教	有台词无专名(已确认无正名)
狼与宝石之海	拉德恩自述(483/485)	师傅 / 那个人(为拉德恩弄到土地特许状、巧舌说教的圣职者)	仅以'师傅/那个人'出现，无专名，本篇不点名。	drop		仅提及圣职者,无台词
狼与将晓之色	1_0~1_3, 1_11, 1_64, 1_67~1_72	师傅 / 野猫一样的师傅 / 一位到访村里的旅行商人 / 性格偏颇的师傅	本章正文从不写出其名字;仅以'师傅'等称谓出现。	drop		罗伦斯的师傅(已确认无名),回忆无台词
狼与尾巴的圆舞	场景3 (3_174 等)	黎明枢机阁下 / 改革旗手 / 与罗伦斯形同父子的人	本卷正文以'寇尔'点名(3_102、3_171),故非纯倒指代;但'黎明枢机'身份与系列主线相关。	resolve	柯尔	正文点名寇尔→柯尔;无台词
狼与尾巴的圆舞	全篇	音译归一:艾莉莎=艾尔莎、寇尔=柯尔	本卷音译与全局别名种子用字不同,需按系列 registry 统一 canonical。	drop		已由归一脚本处理
狼与彩虹色的音乐	9_0~13_0	曾'当牧羊人'、带牧羊犬('汪!')的女性来宾	本篇不点名;系列正典疑为诺儿菈(妖精牧羊人)及其牧羊犬艾尼克。	resolve	诺儿菈/艾尼克	猜测正确
狼与彩虹色的音乐	21_0~23_0	谈炼金术、'追寻越高层次越好的神秘事物'的稳重来宾(含一位想把全世界景色画成图者)	本篇不点名;系列正典中炼金术相关者疑为狄安娜等。	resolve		狄安娜
狼与彩虹色的音乐	15_0~17_0	教诲口吻的女性(疑修道女)与'另外一名男子',劝瘦弱者别只看书	本篇不点名;系列正典疑为女司铎艾尔莎及其同伴。	resolve		艾尔莎
狼与收获之秋	场景6 (6_45)	罗赞王国萨巴布领大公 / 寄信的贵族大人	本篇点出领地与头衔(罗赞王国萨巴布领大公),但无人名;是否对应系列正典具体人物需 registry 确认。	drop		无名,台词系转述
狼与收获之秋	场景6 (6_45~6_59)	战死的水手 / 见习骑士(其英名被宣扬)	讣报主角,全篇只字未提其名;来自纽希拉某家乡间旅店之子,是否系列正典已知人物待考。	drop		无名无台词
狼与旅行之卵	场景3 (3_102~3_104)	攸葛先生 / 那只猪 / 羊(画商)	正文点出名字'攸葛'，但'羊的化身/旧识画商'身份及全名靠系列正典确认。	resolve	攸葛	正文已点名,系列画商
狼与旅行之卵	场景11、14 (青年祭司)	青年祭司 / 黎明大主教(戏称)	全篇从不写出专名；外貌'酷似寇尔'，是否为系列正典中具名人物需 registry 判断。	keep_local	青年祭司	正文'酷似寇尔'(罗伦斯应一眼认出柯尔)→另一人,篇内无名实体,勿与柯尔合并(人工定夺)
狼与旅行之卵	场景11/13/14 (总督)	总督 / 鲁维克同盟前高层	全篇仅以绰号'总督'称呼，鲁维克同盟退休高层是否系列已具名人物待查。	keep_local	总督	有台词无专名
狼与昔日猎犬的叹息	贯穿(瓦兰主教领背景),如1_205	瓦兰主教领 / 诅咒之山 / 来访的炼金术士('师傅'们)	塔妮娅等待的'师傅'(炼金术士群体)本篇不点名,仅背景提及;需系列正典(《狼与羊皮纸》线?)确认具体身份。	drop		背景炼金术士无台词
狼与昔日猎犬的叹息	1_115/138	支配北方的大商会 / '德堡商会'	曾向罗伦斯抛橄榄枝的北方大商会,本篇仅赫萝口述带过('什么德堡商会');确切名称/归属需系列正典(疑似德堡商会)校对。	drop		机构非角色
狼与星空下的远吠	全篇(旅伴/男人/同伴)	旅伴 / 同伴 / 男人 / 对方	本篇正文从不写出旅伴的专名;'旅伴=罗伦斯'只能靠系列正典(赫萝的旅行商人伴侣)确认。	resolve	罗伦斯	在场有台词,仅本篇不点名
狼与春天落下的东西	场景2-3 (大鼻子木匠)	大鼻子的男子 / 木匠 / 浮浪人	本篇有台词且登场,但正文自始至终未给专名,系列正典亦未必有稳定登记。	keep_local	大鼻子木匠	有台词无专名
狼与春天落下的东西	场景5 注释 / 系列设定	缪里(赫萝的同伴)	'缪里'作为'赫萝的伙伴/同伴'被提及(5_? 6_22/7_103),是佣兵团与女儿缪莉得名由来的历史人物,本篇仅作典故出现、无登场。	drop		初代缪里≠女儿缪里;典故无台词,勿混
狼与森林色彩	场景3~4 (3_26 起)	修道院长 / 院长大人	全篇只以职务'院长/修道院长'出现, 从不写出专名, 仅说'光顾过旅馆好几次'。	keep_local	修道院长	有台词无专名
狼与森林色彩	场景3 (3_22 起)	森林旅舍老板	斧头招牌旅舍的老板, 全篇无专名。	keep_local	旅舍老板	有台词无专名
狼与橡实面包	场景3 (3_237~3_238)	马的化身 / 那位马先生 / 以送信为业的他	本篇正文从不写出本名,只能靠系列正典点名(送信马的化身≈鲁瓦德?需校对)。	keep_local		非正片角色，但是和狼与泉烟彼方中的马应该为同一人
狼与橡实面包	场景1/3 多处(1_61~1_63 总督;3_72 等)	鲱鱼卵事件中帮忙的五六十岁大商人(原'总督',率商人公会贸易船队) / 委托罗伦斯的阿蒂夫主教	本篇均以职衔/泛称出现,未点本名;'总督'指谁、阿蒂夫主教是否系列已知人物需正典确认。	drop		背景委托人无台词
狼与橡实面包	场景3 (3_736 等)	炼金术师之'大弟子'=猫少女	本篇仅以'大弟子/猫小姐/猫的化身'指代,无本名。	drop		无本名无台词(雕像/提及)
狼与泉烟彼方	场景2 (2_34-2_57)、场景3 (3_30)	瘦瘦高高的青年/高个子(羊的化身) 与 矮矮胖胖的中年男性/矮个子(兔子的化身);'马先生''鹿先生'	本篇这八个非人帮手全程不点名,仅以动物种类/体型指代。需系列正典确认是否为已登记角色。	resolve	修斯(羊)/希尔德(兔)	黄金羊为修斯，兔子为希尔德·施瑙 (余'马先生'=《橡实面包》送信之马、'鹿先生'无台词无本名)
狼与泉烟彼方	场景5 (5_24-5_26)、场景3 (赫萝'继承名字的同伴')	赫萝远古约伊兹的'从前同伴' / 让女儿继承其名的同伴	正文未在本篇点名该同伴(系列正典中即缪里之名所本的'缪里')。	drop		初代缪里;无台词
狼与灰色的笑颜	场景7-10 (老爷爷)	来自遥远东方的老商人 / 传说中的吝啬老头	本篇正文从不写出其专名, 是否对应系列正典某具名角色无法从本章确认。	keep_local	老爷爷(远东商人)	大量台词无专名
狼与白色的猎犬	场景6 (6_68)	另一名掌管后厨的女子	面饼简笔画中'两名男子(罗伦斯、柯尔)与三名女子(赫萝、缪莉、+她)'里的第三名女子;本篇从不点名。	drop		画中第三女无名无台词
狼与秋色笑容	3_60 (鲁华)	鲁华	本篇写作'鲁华'，疑为系列正典'鲁瓦德'的音译差异，但本章不足以确证同一性。	resolve	鲁瓦德	已归一(鲁华→鲁瓦德)
狼与羊毛刷	场景3 (3_46)	掌管斯威奈尔的米里	本卷点名为'米里',但其完整身份/系列归一(是否对应系列正典某非人角色)需 registry 核对;本篇仅回忆引述,无登场台词。	resolve	米里	系列复现具名角色(掌管斯威奈尔);建议入aliases
狼与羊毛刷	场景1-3	南方狼族的'兄长几个'	瑟莉姆从南方迢迢而来的兄长几人,本篇从不点名。	drop		无名无台词
狼与花瓣香	场景2_16等(院长)	伊凡(女子)修道院长 / 院长	本篇从不写出院长本名,仅以职务'院长'称。若系列正典有对应人名,需registry确认;本篇无其台词,优先级低。	drop		无台词;后续卷如出现再归一
狼与花瓣香	场景3_49等(村长)	哈第修村长	本篇有台词但全程无专名。属本篇内部实体,非跨章点名,一般无需系列registry;若后续卷出现同村长可再归一。	keep_local	哈第修村长	有台词无专名
狼与蓝色的梦	场景7~11(遗体相关)	死去的旅人 / 无名工匠 / 双头狼纹章所属的小国	约五十年前灭亡的小国及其工匠/家臣,全篇始终无名,无法点名。	drop		无名无台词
狼与蓝色的梦	全篇背景提及	德堡商会的'太阳压铸槌'冒险(8_129/132'我们带着太阳的压铸槌在北方辗转…在最关键的时候成功了')	指向系列主线(罗伦斯与赫萝当年协助德堡商会发行新银币'太阳压铸槌'的冒险),本篇不展开人物。	drop		主线lore非角色
狼与蜜渍桃子	无	—	本篇为独立短篇,无必须靠系列正典才能点名的关键角色;烤全猪摊主、卸货工人、士兵、村落负责人、村民等均为无名背景人物,不单列。	drop		本篇无须registry扩展
狼与辛香料的回忆	scene7 (7_7,7_24 等)	哈里维尔修道院院长大人 / 老僧	本篇只给职衔(修道院名+院长)与戏称'哈里啥子的',从不写出个人本名。	keep_local	哈里维尔修道院院长	有台词无专名
狼与辛香料的回忆	scene5/6/8	瑟莉姆之兄 / 瑟莉姆她哥(及其族人)	全篇无个人专名,仅亲属+首领身份。	keep_local	瑟莉姆之兄	有台词无专名
狼与金黄色的约定	场景6 (6_28 '又是杜雷他们')	杜雷	★'杜雷他们'被来报信的男子提及一次,疑为与巴顿争执的另一方(或其同伙),但正文未把'杜雷'与争吵对手明确对应,也无更多信息。	drop		提及一次,身份不明,暂不映射
狼与金黄色的约定	场景6争吵对手(巴顿的对立方)	争吵的另一人 / 我的田比较小那个	与巴顿对吵者全程未点名(可能即'杜雷',见上),仅'六西亨/五西亨'纠纷中得五西亨一侧。	keep_local	争吵村民	有台词无专名(五西亨一方) (cast未单列;Phase2按篇内无名/集体说话人处理)
狼与金黄色的麦穗	1_87 / 1_111	年老的村长 / 村长们	本章只称'村长',从不点名;此村为赫萝作丰收之神所栖之地(系列正典≈帕斯罗埃村),村长身份需系列registry才能确认,正文无据。	drop		无台词(村≈帕斯罗埃待核)
狼与银色的叹息	全章(旅伴线)	旅伴 / 旅行商人 / 当家的 / 他	本章正文从未写出专名'罗伦斯';仅靠系列正典(赫萝的旅伴=旅行商人罗伦斯)才能点名。	resolve	罗伦斯	在场有台词,仅本篇不点名
狼与饴糖色的日常	1_186	赛莉姆	仅一次顺带点名,与汉娜并列为'可一起喝格瓦斯'的对象,本章未交代其身份/与旅店的关系。	resolve	瑟莉姆	=统一后Selim;仅提及
狼与黄金色的约定	1_257	德雷(他们)	'又是德雷他们！'——'德雷'疑为引发土地纠纷的村民(或巴顿对手)之名,正文未再展开,身份不明。	drop		身份不明,暂不映射
狼与黄金色的约定	1_310~1_311	列文二世(贤主国王) / 雷瓦利亚国	历史人物与国名,用于解释'列文'计量单位,纯背景设定,非在场角色。	drop		背景lore非角色
狼与黄金色的约定	1_323/1_415	委托管理村子的贵族大人	出资建修道院、委托村长管理该村的贵族,全篇未点名也未登场。	drop		幕后未登场
金黄色的记忆	场景1 (1_24/1_26/1_27)	约瑟夫 / 阿贝尔 / 拉马尼诺夫(温泉旅馆老板们)	仅被女佣点名提及,本篇无登场无台词,系列地位不明。	drop		背景人名无台词
黑狼的摇篮	结尾 24_146/24_150	芙露露改名'艾普·布朗'	本篇明确点名'艾普/艾普·布朗',且与aliases.json种子'艾普'、后日谈中的'艾普·布朗'为同一系列角色——即本篇是主线女商人艾普的前传。	resolve	艾普	已统一canonical(本批已落地)
