uid	source	scene	sent	qidx	dialogue	context
1_85	两匹狼的婚礼	1	85	0	哪可能有那么大的。啊，铁签不算，只有木签喔。	“那好吧，我就去找一串这么大的店！” ‖ 缪里两手大开都快脱臼了，然后像鲨鱼咬上来般又抓住我的手。 ‖ “你自己说一串的喔？” ‖ ►“哪可能有那么大的。啊，铁签不算，只有木签喔。” ‖ “大哥哥都欺负我！” ‖ 即使这样叫，她还是不知道在高兴什么，笑呵呵地用脸在我手上蹭。
1_86	两匹狼的婚礼	1	86	0	大哥哥都欺负我！	缪里两手大开都快脱臼了，然后像鲨鱼咬上来般又抓住我的手。 ‖ “你自己说一串的喔？” ‖ “哪可能有那么大的。啊，铁签不算，只有木签喔。” ‖ ►“大哥哥都欺负我！” ‖ 即使这样叫，她还是不知道在高兴什么，笑呵呵地用脸在我手上蹭。 ‖ 既开心又烦人，或者说一如往常的一天就要开始了。
1_96	两匹狼的婚礼	1	96	0	嗯，拜托啦。大哥哥会买奖品给你的。	来到屋外，上午的劳兹本街道还是跟平时一样。之前还乱得像暴风雨来袭时起了大火灾，如今已经完全恢复日常情景了。 ‖ 我们穿过天蓬马车优雅驶过的贵族住宅区，来到喧噪的闹街上。才一个塞满鸡鸭的笼子过去，接着又是满载猪只的马车和一大群用牛轭串起的肉牛。光是想那些动物可以摆满几人份的餐桌，我就要头晕了。但想到人们才刚忍了一个冬天的腌肉、腌鲱鱼和没了味道的旧面包，这些肯定是填不满他们的胃。 ‖ 我求神保佑人们可以常保这份活力时，蹲在身边的缪里站了起来。 ‖ ►“嗯，拜托啦。大哥哥会买奖品给你的。” ‖ 回答缪里的，是一只有点瘦的深褐色老狗。 ‖ “汪呼。”　它软趴趴地一吠，沿墙脚慢慢走远。缪里脚边还坐了三只不同颜色的野狗，这是因为有森林之王──狼血统的缪里一来到这条街就收了野狗当手下的缘故。
1_98	两匹狼的婚礼	1	98	0	汪呼。	我求神保佑人们可以常保这份活力时，蹲在身边的缪里站了起来。 ‖ “嗯，拜托啦。大哥哥会买奖品给你的。” ‖ 回答缪里的，是一只有点瘦的深褐色老狗。 ‖ ►“汪呼。”　它软趴趴地一吠，沿墙脚慢慢走远。缪里脚边还坐了三只不同颜色的野狗，这是因为有森林之王──狼血统的缪里一来到这条街就收了野狗当手下的缘故。
2_1	两匹狼的婚礼	2	1	0	找得到吗？	另外，在缪里面前坐成一排的野狗们之所以毛有点乱，是因为它们也和缪里一样正在换毛吧。感觉只要找到和缪里同色的狗，还真能混得过去。 ‖ ►“找得到吗？” ‖ “嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。
2_2	两匹狼的婚礼	2	2	0	嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。	另外，在缪里面前坐成一排的野狗们之所以毛有点乱，是因为它们也和缪里一样正在换毛吧。感觉只要找到和缪里同色的狗，还真能混得过去。 ‖ “找得到吗？” ‖ ►“嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ “你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？”
2_4	两匹狼的婚礼	2	4	0	你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？	“找得到吗？” ‖ “嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ ►“你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？” ‖ 她是指比较大的城镇都一定会有的某某人街吧。既然这样说，倒也没错。 ‖ “所以他们从故乡带来的狗，也会在那里建立地盘？”
2_6	两匹狼的婚礼	2	6	0	所以他们从故乡带来的狗，也会在那里建立地盘？	我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ “你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？” ‖ 她是指比较大的城镇都一定会有的某某人街吧。既然这样说，倒也没错。 ‖ ►“所以他们从故乡带来的狗，也会在那里建立地盘？” ‖ “嗯。比如说它们三个，好像是从大陆东边来的。” ‖ 尽管颜色不同，体型的确是彼此相近。
2_7	两匹狼的婚礼	2	7	0	嗯。比如说它们三个，好像是从大陆东边来的。	“你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？” ‖ 她是指比较大的城镇都一定会有的某某人街吧。既然这样说，倒也没错。 ‖ “所以他们从故乡带来的狗，也会在那里建立地盘？” ‖ ►“嗯。比如说它们三个，好像是从大陆东边来的。” ‖ 尽管颜色不同，体型的确是彼此相近。 ‖ 被缪里摸头，它们就开心地摇尾巴。
2_10	两匹狼的婚礼	2	10	0	那之前那只，就是去找有银毛的狗聚集的地方吗？	“嗯。比如说它们三个，好像是从大陆东边来的。” ‖ 尽管颜色不同，体型的确是彼此相近。 ‖ 被缪里摸头，它们就开心地摇尾巴。 ‖ ►“那之前那只，就是去找有银毛的狗聚集的地方吗？” ‖ “大概吧。当然，它们都比不上我啦。” ‖ 缪里花了很多心思在保养头发上，体毛就差远了。
2_11	两匹狼的婚礼	2	11	0	大概吧。当然，它们都比不上我啦。	尽管颜色不同，体型的确是彼此相近。 ‖ 被缪里摸头，它们就开心地摇尾巴。 ‖ “那之前那只，就是去找有银毛的狗聚集的地方吗？” ‖ ►“大概吧。当然，它们都比不上我啦。” ‖ 缪里花了很多心思在保养头发上，体毛就差远了。 ‖ 然而她扠腰挺胸，对自己的毛还是很有自信的样子。
2_14	两匹狼的婚礼	2	14	0	那么大哥哥，我们就趁那只狗爷爷去找银毛狗聚集地的时候帮它们买奖品吧！	“大概吧。当然，它们都比不上我啦。” ‖ 缪里花了很多心思在保养头发上，体毛就差远了。 ‖ 然而她扠腰挺胸，对自己的毛还是很有自信的样子。 ‖ ►“那么大哥哥，我们就趁那只狗爷爷去找银毛狗聚集地的时候帮它们买奖品吧！” ‖ “好好好，也要帮指挥野狗的狼买一点对不对？” ‖ “欸嘿嘿～”
2_15	两匹狼的婚礼	2	15	0	好好好，也要帮指挥野狗的狼买一点对不对？	缪里花了很多心思在保养头发上，体毛就差远了。 ‖ 然而她扠腰挺胸，对自己的毛还是很有自信的样子。 ‖ “那么大哥哥，我们就趁那只狗爷爷去找银毛狗聚集地的时候帮它们买奖品吧！” ‖ ►“好好好，也要帮指挥野狗的狼买一点对不对？” ‖ “欸嘿嘿～” ‖ 我对贼笑的缪里苦笑，两人一起跃入杂沓之流中。
2_16	两匹狼的婚礼	2	16	0	欸嘿嘿～	然而她扠腰挺胸，对自己的毛还是很有自信的样子。 ‖ “那么大哥哥，我们就趁那只狗爷爷去找银毛狗聚集地的时候帮它们买奖品吧！” ‖ “好好好，也要帮指挥野狗的狼买一点对不对？” ‖ ►“欸嘿嘿～” ‖ 我对贼笑的缪里苦笑，两人一起跃入杂沓之流中。 ‖ 劳兹本原本就是个又大又热闹的港都，愈往港口走人愈多，多到让人以为是不是有个大水桶从海里捞出人来往路上泼。
2_20	两匹狼的婚礼	2	20	0	缪里，不要走散喔！	我对贼笑的缪里苦笑，两人一起跃入杂沓之流中。 ‖ 劳兹本原本就是个又大又热闹的港都，愈往港口走人愈多，多到让人以为是不是有个大水桶从海里捞出人来往路上泼。 ‖ 这里的海在冬天吹的都是湿冷的西北风，有碍航行。所以当春天真正到来以后，蛰伏的船全都涌过来了吧。 ‖ ►“缪里，不要走散喔！” ‖ “你才是咧！” ‖ 路上到处是背负巨大货物的壮硕搬运工，撞上可不是闹着玩的。又矮又轻的缪里敏捷闪过他们，躲开边走边大声论事的胖子集团，笑呵呵地看着扛着羊走路的牧人经过，在排满路两旁的摊贩寻找感兴趣的东西。
2_21	两匹狼的婚礼	2	21	0	你才是咧！	劳兹本原本就是个又大又热闹的港都，愈往港口走人愈多，多到让人以为是不是有个大水桶从海里捞出人来往路上泼。 ‖ 这里的海在冬天吹的都是湿冷的西北风，有碍航行。所以当春天真正到来以后，蛰伏的船全都涌过来了吧。 ‖ “缪里，不要走散喔！” ‖ ►“你才是咧！” ‖ 路上到处是背负巨大货物的壮硕搬运工，撞上可不是闹着玩的。又矮又轻的缪里敏捷闪过他们，躲开边走边大声论事的胖子集团，笑呵呵地看着扛着羊走路的牧人经过，在排满路两旁的摊贩寻找感兴趣的东西。 ‖ 在这么拥挤的路上跌倒，马上就会被踩出重伤，让我替她担心得不得了。可是被搬运工嫌挡路，被商人目中无人地推开，被牧人肩上羊尾巴打脸的都是我。
2_25	两匹狼的婚礼	2	25	0	大哥哥，你头发好乱喔。	路上到处是背负巨大货物的壮硕搬运工，撞上可不是闹着玩的。又矮又轻的缪里敏捷闪过他们，躲开边走边大声论事的胖子集团，笑呵呵地看着扛着羊走路的牧人经过，在排满路两旁的摊贩寻找感兴趣的东西。 ‖ 在这么拥挤的路上跌倒，马上就会被踩出重伤，让我替她担心得不得了。可是被搬运工嫌挡路，被商人目中无人地推开，被牧人肩上羊尾巴打脸的都是我。 ‖ 一路蹒跚的我好不容易追上缪里，发现她已经向摊贩点了菜。 ‖ ►“大哥哥，你头发好乱喔。” ‖ “……” ‖ 缪里一派轻松地从腰带里翻出木匙，咔咔咔地边咬边等，像只牙齿痒的小狗。
2_26	两匹狼的婚礼	2	26	0	……	在这么拥挤的路上跌倒，马上就会被踩出重伤，让我替她担心得不得了。可是被搬运工嫌挡路，被商人目中无人地推开，被牧人肩上羊尾巴打脸的都是我。 ‖ 一路蹒跚的我好不容易追上缪里，发现她已经向摊贩点了菜。 ‖ “大哥哥，你头发好乱喔。” ‖ ►“……” ‖ 缪里一派轻松地从腰带里翻出木匙，咔咔咔地边咬边等，像只牙齿痒的小狗。 ‖ “不要咬，很难看。”
2_28	两匹狼的婚礼	2	28	0	不要咬，很难看。	“大哥哥，你头发好乱喔。” ‖ “……” ‖ 缪里一派轻松地从腰带里翻出木匙，咔咔咔地边咬边等，像只牙齿痒的小狗。 ‖ ►“不要咬，很难看。” ‖ 她对只说得出这种话的我吐舌头，应老板吆喝接过餐点。 ‖ “……那什么啊？”
2_30	两匹狼的婚礼	2	30	0	……那什么啊？	缪里一派轻松地从腰带里翻出木匙，咔咔咔地边咬边等，像只牙齿痒的小狗。 ‖ “不要咬，很难看。” ‖ 她对只说得出这种话的我吐舌头，应老板吆喝接过餐点。 ‖ ►“……那什么啊？” ‖ 我从小就跑去当流浪学生，大了点之后跟随缪里的父亲旅行商人罗伦斯环游诸国，后来又为进修神学，靠艾莉莎的关系在各国间到处跑。 ‖ 因此我对各地饮食的认识有一定的自信，但缪里雀跃接下的东西我从来没印象，乍看之下感觉很恐怖。
2_33	两匹狼的婚礼	2	33	0	欸嘿嘿～这是到宅子里来的石匠跟我说的喔！现在劳兹本最流行的小吃，海盗盅！	“……那什么啊？” ‖ 我从小就跑去当流浪学生，大了点之后跟随缪里的父亲旅行商人罗伦斯环游诸国，后来又为进修神学，靠艾莉莎的关系在各国间到处跑。 ‖ 因此我对各地饮食的认识有一定的自信，但缪里雀跃接下的东西我从来没印象，乍看之下感觉很恐怖。 ‖ ►“欸嘿嘿～这是到宅子里来的石匠跟我说的喔！现在劳兹本最流行的小吃，海盗盅！” ‖ 缪里手里是用便宜硬面包挖空盛装的小炒，内容物一团混乱。 ‖ “这是猪猪跟羊咩咩的内脏，这是关节的软骨。炒熟以后再加上炸得酥酥的鱼骨头，洒很多盐、大蒜、芥子和油再炒一遍，超香的──”
