source	sents	narr_我	pov	top_names	focalizer_guess	focalizer	note
狼与琥珀色的忧郁	676	3	第三人称	赫萝:30 罗伦斯:2	赫萝	赫萝	
狼与白色的猎犬	403	109	第一人称?	罗伦斯:31 赫萝:23 柯尔:5	罗伦斯	格兰·萨尔加多	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)" [Phase1校正 异端审问官→格兰·萨尔加多]
狼与白色的道路	320	1	第三人称	赫萝:117 罗伦斯:94	赫萝	罗伦斯	[Phase1校正 赫萝→罗伦斯]
狼与硕果之夏	147	0	第三人称	罗伦斯:39 赫萝:33 柯尔:13	罗伦斯	罗伦斯	
狼与秋色笑容	589	1	第三人称	赫萝:178 罗伦斯:165 缪里:10	赫萝	罗伦斯	两视角接近(赫萝:178 罗伦斯:165 缪里:10): 确认主视角
狼与红霞色的礼物	376	0	第三人称	赫萝:131 罗伦斯:120	赫萝	罗伦斯	两视角接近(赫萝:131 罗伦斯:120): 确认主视角 [Phase1校正 赫萝→罗伦斯]
狼与羊毛刷	320	4	第三人称	赫萝:84 罗伦斯:67 缪里:3	赫萝	罗伦斯	[Phase1校正 赫萝→罗伦斯]
狼与花瓣香	808	7	第三人称	罗伦斯:170 赫萝:144 缪里:4	罗伦斯	罗伦斯	
狼与蓝色的梦	846	12	第三人称	罗伦斯:223 赫萝:222 柯尔:4	罗伦斯	罗伦斯	两视角接近(罗伦斯:223 赫萝:222 柯尔:4): 确认主视角
狼与蜜渍桃子	804	5	第三人称	罗伦斯:292 赫萝:247	罗伦斯	罗伦斯	
狼与轻咬的牙	457	196	第一人称?	缪里:104 赫萝:51 罗伦斯:19	缪里	柯尔	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
狼与辛香料的回忆	1151	349	第一人称?	赫萝:36 缪里:29 罗伦斯:4	赫萝	赫萝	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
狼与金黄色的约定	908	4	第三人称	罗伦斯:241 赫萝:236	罗伦斯	罗伦斯	两视角接近(罗伦斯:241 赫萝:236): 确认主视角
狼与金黄色的麦穗	129	49	第一人称?	赫萝:5 罗伦斯:1	赫萝	赫萝	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
狼与银色的叹息	306	2	第三人称	赫萝:14 罗伦斯:1	赫萝	赫萝	
狼与青草色的小路	333	3	第三人称	赫萝:102 罗伦斯:96	赫萝	罗伦斯	两视角接近(赫萝:102 罗伦斯:96): 确认主视角
狼与饴糖色的日常	347	1	第三人称	赫萝:118 罗伦斯:106 柯尔:3	赫萝	罗伦斯	两视角接近(赫萝:118 罗伦斯:106 柯尔:3): 确认主视角
狼与黄金色的约定	911	26	第三人称	罗伦斯:239 赫萝:202	罗伦斯	罗伦斯	
羊皮纸与涂鸦	254	76	第一人称?	缪里:64 赫萝:15 罗伦斯:6	缪里	柯尔	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
苹果的红、天空的蓝	507	0	第三人称	赫萝:133 罗伦斯:104	赫萝	罗伦斯	[Phase1校正 赫萝→罗伦斯]
金黄色的记忆	683	21	第三人称	罗伦斯:177 赫萝:96 缪里:3	罗伦斯	罗伦斯	
黑狼的摇篮	1914	1	第三人称	艾普:2	艾普	艾普	★别名没覆盖此篇角色(异类短篇): 补 aliases 或本轮 drop [Phase1校正 芙露露→艾普]
